source_id,source_type,category,priority,technical_details,suggested_title
1,app_store_reviews,Spam,Low,,Spam
2,app_store_reviews,Praise,Low,,Praise
3,app_store_reviews,Other,Low,,Other
4,app_store_reviews,Complaint,Medium,,Complaint
5,app_store_reviews,Feature Request,Medium,,Feature: Please add dark mode
6,app_store_reviews,Feature Request,Medium,,Feature: Love the new feature
7,app_store_reviews,Other,Low,,Other
8,app_store_reviews,Other,Low,,Other
9,app_store_reviews,Praise,Low,,Praise
10,app_store_reviews,Feature Request,Medium,,Feature: Would love to see ca
11,app_store_reviews,Complaint,Medium,,Complaint
12,app_store_reviews,Complaint,Medium,,Complaint
13,app_store_reviews,Complaint,Medium,,Complaint
14,app_store_reviews,Feature Request,Medium,,Feature: Would love to see ca
15,app_store_reviews,Feature Request,Medium,,Feature: Missing functionalit
16,app_store_reviews,Complaint,Medium,,Complaint
17,app_store_reviews,Other,Low,,Other
18,app_store_reviews,Spam,Low,,Spam
19,app_store_reviews,Feature Request,Medium,,Feature: Love the new feature
20,app_store_reviews,Other,Low,,Other
21,app_store_reviews,Feature Request,Medium,,Feature: Love the new feature
22,app_store_reviews,Praise,Low,,Praise
23,app_store_reviews,Other,Low,,Other
24,app_store_reviews,Spam,Low,,Spam
25,app_store_reviews,Complaint,Medium,,Complaint
26,app_store_reviews,Bug,High,Google Play 3.1.0,Bug: Data sync not workin
27,app_store_reviews,Bug,High,App Store 3.0.1,Bug: Can't login since th
28,app_store_reviews,Other,Low,,Other
29,app_store_reviews,Praise,Low,,Praise
30,app_store_reviews,Complaint,Medium,,Complaint
31,app_store_reviews,Other,Low,,Other
32,app_store_reviews,Spam,Low,,Spam
33,app_store_reviews,Other,Low,,Other
34,app_store_reviews,Spam,Low,,Spam
35,app_store_reviews,Other,Low,,Other
36,app_store_reviews,Other,Low,,Other
37,app_store_reviews,Other,Low,,Other
38,app_store_reviews,Complaint,Medium,,Complaint
39,app_store_reviews,Other,Low,,Other
40,app_store_reviews,Complaint,Medium,,Complaint
41,app_store_reviews,Other,Low,,Other
42,app_store_reviews,Other,Low,,Other
43,app_store_reviews,Bug,High,Google Play 2.1.3,Bug: Can't login since th
44,app_store_reviews,Feature Request,Medium,,Feature: Missing functionalit
45,app_store_reviews,Spam,Low,,Spam
46,app_store_reviews,Feature Request,Medium,,Feature: Missing functionalit
47,app_store_reviews,Other,Low,,Other
48,app_store_reviews,Complaint,Medium,,Complaint
49,app_store_reviews,Spam,Low,,Spam
50,app_store_reviews,Spam,Low,,Spam
1,support_emails,Bug,High,,Bug: App Crash Report
2,support_emails,Bug,High,,Bug: Login Issue
3,support_emails,Feature Request,Medium,,Feature: Feature Request: Dark Mode
4,support_emails,Feature Request,Medium,,Feature: Suggestion for Improvement
5,support_emails,Bug,High,,Bug: Data Loss Problem
